DBA,Borough,STREET,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE,INCOME LEVEL
FELIDIA RESTAURANT,MANHATTAN,EAST   58 STREET,Italian,8.0,A,06/15/2016,high income
PRIMOLA RESTAURANT,MANHATTAN,SECOND AVENUE,Italian,9.0,A,03/20/2014,high income
JIMMY'S ON THE GO,BRONX,EAST  168 STREET,American,11.0,A,07/29/2015,low income
SHUN LEE,MANHATTAN,WEST   65 STREET,Chinese,13.0,A,09/24/2014,high income
HUI'S GARDEN,QUEENS,COLLEGE POINT BLVD,Chinese,22.0,B,06/22/2017,low income
PAPPARDELLA,MANHATTAN,COLUMBUS AVENUE,Italian,11.0,A,03/02/2017,high income
PG PIZZA,BRONX,EAST  167 STREET,Pizza,8.0,A,12/23/2014,low income
CHOP'T,MANHATTAN,PARK AVENUE,American,9.0,A,08/30/2016,high income
KITARO,MANHATTAN,AMSTERDAM AVENUE,Chinese/Japanese,26.0,B,05/12/2014,high income
BROOME STREET BAR,MANHATTAN,WEST BROADWAY,American,12.0,A,05/02/2017,high income
AMC THEATRES,MANHATTAN,BROADWAY,American,10.0,A,05/10/2016,high income
GRIFFIS FACULTY CLUB,MANHATTAN,EAST   68 STREET,American,13.0,A,06/01/2015,high income
D'ANGELO'S PIZZA,QUEENS,QUEENS BOULEVARD,Pizza/Italian,6.0,A,01/13/2015,medium income
PHO BANG RESTAURANT,QUEENS,KISSENA BOULEVARD,Vietnamese/Cambodian/Malaysia,12.0,A,10/27/2015,low income
RISTORANTE LUNA,MANHATTAN,MULBERRY STREET,Italian,12.0,A,09/15/2016,high income
STARBUCKS,MANHATTAN,AVENUE OF THE AMERICAS,Caf̩/Coffee/Tea,2.0,A,07/24/2017,high income
PACKARD  CAFE,QUEENS,CRESCENT STREET,American,7.0,A,08/08/2014,medium income
NARITA JAPANESE RESTAURANT,QUEENS,70 ROAD,Japanese,10.0,A,01/09/2014,medium income
DOS TOROS TAQUERIA,MANHATTAN,LEXINGTON AVENUE,Tex-Mex,12.0,A,03/16/2017,high income
BURGERFI,MANHATTAN,EAST   82 STREET,Hamburgers,9.0,A,03/12/2015,high income
OUR PLACE CHINA CHALET,MANHATTAN,EAST   79 STREET,Chinese,8.0,A,11/17/2015,high income
LINCOLN RISTORANTE,MANHATTAN,WEST   65 STREET,Italian,5.0,A,09/29/2015,high income
LILLIAN PIZZERIA,QUEENS,69 AVENUE,Pizza,5.0,A,10/08/2014,medium income
STARBUCKS COFFEE,MANHATTAN,3 AVENUE,Caf̩/Coffee/Tea,4.0,A,04/06/2016,high income
RIPE JUICE BAR & GRILL,QUEENS,AUSTIN STREET,American,7.0,A,07/14/2016,medium income
BARKOGI,MANHATTAN,2 AVENUE,Asian,21.0,B,07/08/2015,high income
DEUX AMIS,MANHATTAN,EAST   51 STREET,French,11.0,A,04/01/2015,high income
ROSSY'S BAKERY & COFFEE SHOP,MANHATTAN,EAST    3 STREET,Spanish,12.0,A,12/11/2014,medium income
THE WAYLAND,MANHATTAN,EAST    9 STREET,American,13.0,A,08/09/2016,medium income
BUKA,BROOKLYN,FULTON STREET,African,10.0,A,07/30/2015,medium income
THE END ZONE BAR,QUEENS,14 AVENUE,American,9.0,A,05/09/2016,medium income
CITY ISLAND YACHT CLUB,BRONX,PILOT STREET,American,12.0,A,09/10/2016,medium income
KENNEDY FRIED CHICKEN,BRONX,EAST  138 STREET,American,13.0,A,06/16/2016,low income
DOCKS RESTAURANT,MANHATTAN,3 AVENUE,Seafood,5.0,A,06/06/2016,high income
LA FONDA DEL SOL,MANHATTAN,PARK AVENUE,Spanish,13.0,A,12/07/2015,high income
TONG'S CAFE,QUEENS,MAIN STREET,Bakery,9.0,A,09/13/2016,low income
TAKAHACHI BAKERY,MANHATTAN,MURRAY STREET,Bakery,7.0,A,02/02/2016,high income
CHIPOTLE MEXICAN GRILL,MANHATTAN,BROADWAY,Tex-Mex,11.0,A,11/06/2014,high income
KING GRILL RESTAURANT,BRONX,EAST  169 STREET,Spanish,13.0,A,10/16/2014,low income
FLIP,MANHATTAN,3 AVENUE,American,2.0,A,01/07/2015,high income
PICK A BAGEL,MANHATTAN,2 AVENUE,Bagels/Pretzels,12.0,A,07/14/2017,high income
CORNER GOURMET II,MANHATTAN,WEST BROADWAY,American,7.0,A,03/20/2015,high income
RECOVERY ROOM,QUEENS,BOOTH MEMORIAL AVENUE,American,7.0,A,08/18/2016,low income
LOON CHUAN RESTAURANT,STATEN ISLAND,PAGE AVENUE,Chinese,12.0,A,12/23/2015,medium income
MOTI MAHAL DELUX,MANHATTAN,1 AVENUE,Indian,9.0,A,03/19/2015,high income
HIDE CHAN RAMEN,MANHATTAN,EAST   52 STREET,Japanese,9.0,A,11/05/2014,high income
ZENGO NYC,MANHATTAN,3 AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,05/28/2015,high income
WENDY'S,BRONX,3 AVENUE,Hamburgers,9.0,A,07/09/2015,high income
WENDY'S,BRONX,3 AVENUE,Hamburgers,9.0,A,07/09/2015,low income
SOLO PIZZA,MANHATTAN,AVENUE B,Pizza,11.0,A,04/20/2015,medium income
PIZZA PALACE CAFE,QUEENS,108 STREET,Jewish/Kosher,9.0,A,12/24/2014,medium income
OLDE BROOKLYN BAGEL SHOPPE,BROOKLYN,VANDERBILT AVENUE,American,32.0,C,02/19/2016,medium income
TRIBECA BAGELS,MANHATTAN,CANAL STREET,Delicatessen,12.0,A,04/24/2017,high income
FELIX,MANHATTAN,WEST BROADWAY,French,12.0,A,04/28/2014,high income
CHERRY TAVERN,MANHATTAN,EAST    6 STREET,American,13.0,A,10/21/2014,medium income
FOO HING KITCHEN,BRONX,EAST  138 STREET,Chinese,7.0,A,10/04/2016,low income
UVA,MANHATTAN,2 AVENUE,Italian,10.0,A,03/30/2016,high income
SILO CAFE,MANHATTAN,3 AVENUE,Delicatessen,13.0,A,03/10/2015,high income
MANHATTAN PROPER,MANHATTAN,MURRAY STREET,American,12.0,A,08/25/2016,high income
SOMETHING'S COOKING CATERING,QUEENS,39 AVENUE,American,9.0,A,03/16/2016,medium income
CHIRPING CHICKEN,MANHATTAN,AMSTERDAM AVENUE,Chicken,11.0,A,07/30/2015,high income
T-BONE DINER,QUEENS,QUEENS BOULEVARD,American,7.0,A,06/14/2016,medium income
CROWN FRIED CHICKEN,BROOKLYN,FULTON STREET,Chicken,5.0,A,03/18/2016,medium income
ORIGINAL RAY'S PIZZA,MANHATTAN,LEXINGTON AVENUE,Pizza,18.0,B,02/03/2015,high income
LUKE'S PIZZA,BRONX,SOUTHERN BOULEVARD,Pizza,2.0,A,03/07/2016,low income
REGENCY WHIST CLUB,MANHATTAN,EAST   67 STREET,American,7.0,A,11/16/2015,high income
MCDONALD'S,MANHATTAN,BROADWAY,Hamburgers,9.0,A,08/29/2014,high income
KING GRILL RESTAURANT,BRONX,EAST  169 STREET,Spanish,20.0,B,12/14/2015,low income
BELLA BLU,MANHATTAN,LEXINGTON AVENUE,Italian,11.0,A,04/09/2015,high income
FULTON AVE CAFE,BRONX,FULTON AVENUE,American,11.0,A,10/30/2014,low income
SUBWAY,QUEENS,BROADWAY,Sandwiches,3.0,A,06/16/2015,high income
KENNEDY FRIED CHICKEN,BRONX,EAST  138 STREET,Chicken,10.0,A,12/01/2015,low income
PUFFY'S TAVERN,MANHATTAN,HUDSON STREET,American,8.0,A,02/12/2015,high income
E.J LUNCHEONETTE,MANHATTAN,THIRD AVENUE,American,12.0,A,08/01/2016,high income
MAXWELL'S,MANHATTAN,READE STREET,Irish,2.0,P,05/09/2014,high income
MITCHELL'S RESTAURANT,BROOKLYN,VANDERBILT AVENUE,Soul Food,9.0,A,08/28/2014,medium income
ASIA ROMA,MANHATTAN,MULBERRY STREET,American,8.0,A,10/06/2016,high income
JOY CURRY & TANDOOR,MANHATTAN,EAST   46 STREET,Indian,11.0,P,07/26/2016,high income
PIER 72 RESTAURANT,MANHATTAN,WEST   72 STREET,American,12.0,A,10/09/2014,high income
NIALL'S ON 52ND,MANHATTAN,EAST   52 STREET,Irish,25.0,B,02/04/2016,high income
FOO HING KITCHEN,BRONX,EAST  138 STREET,Chinese,13.0,A,02/12/2015,low income
PUBLIC HOUSE,MANHATTAN,3 AVENUE,American,12.0,A,12/30/2013,high income
WILLIAM GREENBERG JR DESSERTS,MANHATTAN,MADISON AVENUE,Caf̩/Coffee/Tea,13.0,A,06/02/2014,high income
NAYA MEZZE & GRILL,MANHATTAN,2 AVENUE,Middle Eastern,8.0,A,10/12/2016,high income
JOHN BROWN SMOKEHOUSE,QUEENS,44 DRIVE,American,9.0,A,03/30/2015,medium income
SLICE,QUEENS,VERNON BLVD,Pizza,11.0,A,02/15/2017,medium income
RECOVERY ROOM,QUEENS,BOOTH MEMORIAL AVENUE,American,12.0,A,08/28/2013,low income
LITTLE ITALY PIZZA,MANHATTAN,5 AVENUE,Pizza,9.0,A,11/24/2014,high income
DUE,MANHATTAN,THIRD AVENUE,Italian,10.0,A,03/05/2015,high income
THE LIBRARY,MANHATTAN,AVENUE A,"Bottled beverages, including water, sodas, juices, etc.",12.0,A,12/09/2014,medium income
JALISCO TACO'S,BRONX,ST ANNS AVENUE,Tex-Mex,12.0,A,09/22/2015,low income
LUNA ROSSA,MANHATTAN,EAST   85 STREET,Italian,9.0,A,12/19/2013,high income
MCDONALD'S,MANHATTAN,BROADWAY,American,12.0,A,11/24/2015,high income
HOUSE OF THAI,QUEENS,40TH AVE,Thai,9.0,A,08/20/2015,medium income
METROPOLITAN OPERA,MANHATTAN,LINCOLN CENTER PLAZA,American,4.0,A,12/28/2016,high income
IBM CAFETERIA,MANHATTAN,MADISON AVENUE,American,10.0,A,08/01/2017,high income
COTTA,MANHATTAN,COLUMBUS AVENUE,Italian,12.0,A,04/23/2016,high income
PARKSIDE PUB,QUEENS,149 STREET,American,7.0,A,04/30/2016,medium income
LANDMARK COFFEE SHOP,MANHATTAN,GRAND STREET,American,10.0,A,12/18/2015,high income
FORTY CARROTS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,7.0,A,01/27/2017,high income
NEW SUNFLOWER,BRONX,GERARD AVENUE,Chinese,12.0,A,03/06/2017,low income
PHIL & SONS RESTAURANT & PIZZERIA,QUEENS,MAIN STREET,Pizza/Italian,6.0,A,08/21/2014,low income
CLINTON RESTAURANT,QUEENS,CLINTONVILLE STREET,Italian,13.0,A,04/12/2016,medium income
RADIANCE,MANHATTAN,EAST   50 STREET,Chinese,13.0,A,12/12/2013,high income
GENTE,MANHATTAN,EAST   45 STREET,Italian,10.0,A,02/20/2015,high income
GOLDEN MANNA BAKERY,MANHATTAN,BOWERY ST,Bakery,9.0,A,02/14/2014,high income
WILMER HALE,MANHATTAN,WORLD TRADE CENTER,American,11.0,A,09/13/2016,high income
OSTERIA LAGUNA,MANHATTAN,EAST   42 STREET,Italian,11.0,A,07/22/2014,high income
NUTRICION SALUD Y VIDA,BRONX,MELROSE AVENUE,Other,0.0,A,05/01/2015,low income
CLEARVIEW PARK (GOLF COURSE),QUEENS,WILLETS POINT BOULEVARD,American,12.0,A,01/13/2016,medium income
HAND ROLLED BAGEL CAFE,QUEENS,FRANCIS LEWIS BLVD,Bagels/Pretzels,9.0,A,12/30/2016,medium income
SOLO PIZZA,MANHATTAN,AVENUE B,Pizza,5.0,A,07/12/2017,medium income
CIAO FOR NOW,MANHATTAN,EAST   12 STREET,Caf̩/Coffee/Tea,9.0,A,06/22/2016,medium income
FELIX,MANHATTAN,WEST BROADWAY,French,14.0,B,12/01/2016,high income
WING WAH RESTAURANT,QUEENS,METROPOLITAN AVENUE,Chinese,12.0,A,11/20/2014,medium income
MURASAKI SUSHI,QUEENS,VERNON BLVD,Japanese,7.0,A,12/14/2016,medium income
CHIPOTLE MEXICAN GRILL,MANHATTAN,BROADWAY,Mexican,10.0,A,05/10/2016,high income
TRUMP BAR,MANHATTAN,5 AVENUE,American,7.0,A,05/04/2016,high income
JEFFERIES CAFE (5th Floor),MANHATTAN,MADISON AVE,American,7.0,A,04/21/2017,high income
RECOVERY ROOM,QUEENS,BOOTH MEMORIAL AVENUE,American,9.0,A,03/04/2015,low income
DOMENICOS PIZZERIA,STATEN ISLAND,AMBOY ROAD,Pizza/Italian,13.0,A,11/10/2016,medium income
PENNY HOUSE CAFE,BROOKLYN,WASHINGTON AVENUE,Caf̩/Coffee/Tea,3.0,A,06/04/2014,medium income
BAYARD BO KY RESTAURANT,MANHATTAN,BAYARD ST,Chinese,12.0,A,08/14/2017,high income
MISS LILY'S 7A,MANHATTAN,AVENUE A,Caribbean,12.0,A,06/29/2017,medium income
THALASSA,MANHATTAN,FRANKLIN STREET,Greek,12.0,A,06/21/2014,high income
VAN DAM DELI,QUEENS,VAN DAM STREET,Spanish,12.0,A,09/30/2016,medium income
STARBUCKS,BRONX,BROADWAY,Caf̩/Coffee/Tea,7.0,A,08/24/2015,high income
NEW RED STAR,BRONX,SOUTHERN BOULEVARD,Chinese,9.0,A,08/22/2013,low income
THE ROOSEVELT HOTEL,MANHATTAN,EAST   45 STREET,American,12.0,A,03/11/2015,high income
JACK & NELLIE'S,QUEENS,ASCAN AVENUE,American,8.0,A,03/11/2014,medium income
COZY CORNER/CHICKEN LOVER,MANHATTAN,2 AVENUE,Delicatessen,12.0,A,06/17/2016,high income
COMPLETE BODY & SPA,MANHATTAN,EAST   57 STREET,American,10.0,A,11/21/2016,high income
SHEEZAN RESTAURANT,MANHATTAN,CHURCH STREET,Bangladeshi,7.0,A,10/16/2015,high income
NICE PIZZA,BROOKLYN,FRANKLIN AVENUE,Pizza,9.0,P,06/05/2015,medium income
STARBUCKS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,4.0,A,08/13/2015,high income
CAFE MOGADOR,MANHATTAN,ST MARKS PLACE,Moroccan,7.0,A,12/29/2014,medium income
RAKU IT'S JAPANESE II,MANHATTAN,WEST   76 STREET,Japanese,12.0,A,06/19/2014,high income
THE MUFFIN CAFE,MANHATTAN,COLUMBUS AVENUE,Caf̩/Coffee/Tea,13.0,A,10/03/2014,high income
GEN RESTAURANT,BROOKLYN,WASHINGTON AVENUE,Japanese,12.0,A,04/15/2017,medium income
WRAP N RUN GRILL,MANHATTAN,LEXINGTON AVENUE,American,12.0,A,03/23/2016,high income
GREAT N.Y. NOODLETOWN,MANHATTAN,BOWERY,Chinese,13.0,A,05/04/2015,high income
SUBWAY,MANHATTAN,CHURCH STREET,Sandwiches,17.0,B,02/03/2015,high income
SUTTON CAFE RESTAURANT,MANHATTAN,FIRST AVENUE,American,12.0,A,04/15/2014,high income
SALERNO PASTRY CAFE,QUEENS,CROSS ISLAND PARKWAY,Italian,7.0,A,06/28/2017,medium income
SERAFINA FABULOUS PIZZA,MANHATTAN,MADISON AVENUE,Italian,9.0,A,12/03/2014,high income
PJ MORANS,MANHATTAN,EAST   48 STREET,Irish,12.0,A,11/07/2016,high income
NEW SUN MARY BAKERY,QUEENS,41 ROAD,Bakery,12.0,A,03/29/2016,low income
WILD GINGER VEGETARIAN KITCHEN,MANHATTAN,BROOME STREET,Vegetarian,13.0,A,09/28/2016,high income
THE LIBRARY,MANHATTAN,AVENUE A,"Bottled beverages, including water, sodas, juices, etc.",5.0,A,02/28/2017,medium income
YEH'S BAKERY,QUEENS,MAIN STREET,Bakery,7.0,A,06/21/2017,low income
STARBUCKS COFFEE,MANHATTAN,LEXINGTON AVENUE,Caf̩/Coffee/Tea,3.0,A,06/21/2017,high income
SUBWAY,QUEENS,QUEENS BLVD,Sandwiches,2.0,P,02/11/2014,medium income
DANCING CRANE CAFE (BX ZOO),BRONX,SOUTHERN BOULEVARD,American,4.0,A,05/27/2015,low income
PIZZA CHEF,QUEENS,CROSS ISLAND PARKWAY,Pizza,10.0,A,08/23/2016,medium income
CASCARINO'S,QUEENS,10 AVENUE,Italian,13.0,A,03/08/2017,medium income
STARBUCKS,MANHATTAN,AVENUE OF THE AMERICAS,Caf̩/Coffee/Tea,2.0,A,01/30/2015,high income
SILVER KITCHEN,QUEENS,21 STREET,American,13.0,A,12/17/2014,medium income
SOFIA'S LITTLE ITALY,MANHATTAN,MULBERRY STREET,Italian,12.0,A,05/02/2016,high income
DUNKIN' DONUTS,MANHATTAN,3 AVENUE,Donuts,8.0,A,11/21/2014,high income
KHE-YO,MANHATTAN,DUANE STREET,Thai,12.0,A,04/17/2017,high income
LE PAIN QUOTIDIEN,MANHATTAN,WEST   72 STREET,Sandwiches,5.0,A,12/09/2016,high income
NATIONAL BAKERY,BRONX,INTERVALE AVENUE,Bakery,5.0,A,11/13/2014,low income
AMY'S BREAD CAFE,MANHATTAN,LINCOLN CENTER PLZ,Bakery,0.0,A,07/22/2016,high income
CAFE CENTRO,MANHATTAN,PARK AVENUE,French,7.0,A,02/06/2015,high income
UNITED ARTISTS,QUEENS,38 STREET,American,11.0,A,01/07/2015,medium income
LILY REDS,STATEN ISLAND,SEGUINE AVENUE,Other,10.0,A,07/17/2017,medium income
BENITO ONE,MANHATTAN,MULBERRY STREET,Italian,10.0,A,12/09/2013,high income
SATURDAYS SURF NYC,MANHATTAN,CROSBY STREET,Caf̩/Coffee/Tea,2.0,A,05/10/2016,high income
MOCA ASIAN BISTRO,QUEENS,70 ROAD,Asian,13.0,A,10/31/2016,medium income
ALACHI MASALA INDIAN RESTAURANT,MANHATTAN,AMSTERDAM AVENUE,Indian,11.0,A,12/29/2014,high income
KENNEDY FRIED CHICKEN,BRONX,EAST  152 STREET,American,8.0,A,10/16/2014,low income
MCDONALD'S,BRONX,EAST TREMONT AVENUE,Hamburgers,9.0,A,09/15/2014,low income
GIRALDA BAKERY,BRONX,EAST  163 STREET,Bakery,4.0,A,01/11/2017,low income
AROME,MANHATTAN,BROADWAY,American,12.0,A,06/17/2016,high income
NEW HONG CHEONG RESTAURANT,BROOKLYN,GREENE AVENUE,Chinese,11.0,A,07/30/2015,medium income
HUDSON FOOD COURT,MANHATTAN,HUDSON STREET,Delicatessen,11.0,A,12/21/2016,high income
STARBUCKS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,8.0,A,04/29/2014,high income
JUNG SIK,MANHATTAN,HARRISON STREET,Korean,45.0,C,05/13/2014,high income
STEINWAY BILLIARD,QUEENS,STEINWAY STREET,American,9.0,A,06/20/2016,medium income
SUBWAY,MANHATTAN,2 AVENUE,Sandwiches,9.0,A,03/02/2015,high income
PIZZA BY CERTE,MANHATTAN,EAST   56 STREET,Pizza,20.0,B,05/12/2014,high income
LITTLE ZELDA,BROOKLYN,FRANKLIN AVENUE,Caf̩/Coffee/Tea,8.0,A,05/08/2014,medium income
ELEVEN B,MANHATTAN,AVENUE B,Pizza,5.0,A,05/18/2015,medium income
TRUMP CAFE & GRILL,MANHATTAN,5 AVENUE,American,5.0,A,02/01/2017,high income
OXFORD CAFE,MANHATTAN,EAST   59 STREET,Delicatessen,8.0,A,05/27/2015,high income
EL CAMION CANTINA,MANHATTAN,AVENUE A,Mexican,13.0,A,07/27/2015,medium income
CAFE EIGHTY TWO,MANHATTAN,BROADWAY,American,13.0,A,04/16/2014,high income
CAFE LUNA,STATEN ISLAND,PAGE AVENUE,Italian,7.0,A,05/09/2017,medium income
DELMONICO GOURMET,MANHATTAN,LEXINGTON AVENUE,American,20.0,B,04/14/2017,high income
SHIRO OF JAPAN,MANHATTAN,GRAND CENTRAL TERMINAL,Japanese,12.0,A,04/28/2017,high income
FAY DA BAKERY,QUEENS,KISSENA BOULEVARD,Bakery,14.0,B,02/26/2014,low income
GRIN AFRICAN AMERICAN RESTAURANT,BRONX,EAST  168 STREET,African,7.0,A,05/01/2015,low income
STARBUCKS,MANHATTAN,PARK AVENUE,Caf̩/Coffee/Tea,5.0,A,11/19/2015,high income
FLIP,MANHATTAN,3 AVENUE,American,5.0,A,06/28/2017,high income
BELLA BLU,MANHATTAN,LEXINGTON AVENUE,Italian,15.0,B,08/07/2014,high income
YEFSI ESTIATORIO,MANHATTAN,YORK AVENUE,Greek,13.0,A,02/02/2017,high income
NHA-TRANG CENTRE VIETNAM RESTAURANT,MANHATTAN,CENTRE STREET,Vietnamese/Cambodian/Malaysia,14.0,B,11/15/2013,high income
GRIN AFRICAN AMERICAN RESTAURANT,BRONX,EAST  168 STREET,African,4.0,A,04/11/2016,low income
BEST WESTERN HOTEL HOSPITALITY HOUSE,MANHATTAN,EAST   49 STREET,American,2.0,A,03/06/2015,high income
SHAKE SHACK,MANHATTAN,EAST   86 STREET,American,11.0,A,04/27/2015,high income
SHARLENE'S,BROOKLYN,FLATBUSH AVENUE,American,9.0,A,04/11/2016,medium income
STARBUCKS,MANHATTAN,3 AVENUE,Caf̩/Coffee/Tea,5.0,A,05/14/2015,high income
SOLO PIZZA,MANHATTAN,AVENUE B,Pizza,11.0,A,08/03/2016,medium income
CAFE CLEMENTINE,MANHATTAN,WEST BROADWAY,Sandwiches/Salads/Mixed Buffet,11.0,A,08/11/2016,high income
METROPOLITAN MUSEUM ROOF TOP GARDEN CAFE,MANHATTAN,5 AVENUE,American,2.0,A,07/21/2014,high income
EAST MEETS WEST,QUEENS,BEACH  129 STREET,Chinese,5.0,A,10/10/2014,medium income
FAY DA BAKERY,QUEENS,MAIN STREET,Bakery,52.0,Z,08/10/2017,low income
CLUB MACANUDO (CIGAR BAR),MANHATTAN,EAST   63 STREET,American,11.0,A,04/28/2016,high income
COMMUNITEA,QUEENS,46TH RD,American,10.0,A,10/25/2016,medium income
KABUL KABAB HOUSE,QUEENS,MAIN STREET,Middle Eastern,12.0,A,05/24/2016,low income
UNCLE PAULS PIZZA NY,MANHATTAN,VANDERBILT AVENUE,Pizza/Italian,13.0,A,08/31/2016,high income
KNICKERBOCKER CLUB,MANHATTAN,EAST   62 STREET,American,10.0,A,05/31/2017,high income
PERRINE,MANHATTAN,EAST   61 STREET,American,10.0,A,03/17/2014,high income
FUKUOKA SHABU SHABU,QUEENS,KISSENA BOULEVARD,Asian,10.0,A,05/21/2015,low income
MCDONALD'S,MANHATTAN,1 AVENUE,Hamburgers,18.0,B,07/21/2014,high income
MCDONALD'S,MANHATTAN,1 AVENUE,Hamburgers,18.0,B,07/21/2014,medium income
JOE COFFEE,MANHATTAN,LEXINGTON AVENUE,Caf̩/Coffee/Tea,12.0,A,12/14/2015,high income
SUBWAY,QUEENS,71 AVENUE,Sandwiches,5.0,A,01/13/2016,medium income
AMAZING 66 RESTAURANT,MANHATTAN,MOTT STREET,Chinese,38.0,C,03/19/2015,high income
SARABETH'S,MANHATTAN,GREENWICH STREET,American,9.0,A,02/03/2016,high income
LITTLE CAESARS,BRONX,SOUTHERN BOULEVARD,Pizza,5.0,A,11/17/2014,low income
CARVEL ICE CREAM,QUEENS,METROPOLITAN AVENUE,"Ice Cream, Gelato, Yogurt, Ices",12.0,A,02/14/2017,medium income
THE SMITH,MANHATTAN,BROADWAY,American,7.0,A,01/30/2014,high income
TOMPKINS SQUARE BAGELS,MANHATTAN,AVENUE A,American,7.0,A,09/04/2014,medium income
PITUSA BAKERY,BRONX,EAST  149 STREET,Bakery,6.0,A,01/23/2015,low income
EL NUEVO BOHIO RESTAURANT,BRONX,EAST TREMONT AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,02/10/2014,low income
TRIBECA TAVERN,MANHATTAN,WEST BROADWAY,American,7.0,A,12/01/2016,high income
DOMINO'S,BRONX,EAST TREMONT AVENUE,Pizza,13.0,A,05/12/2016,low income
FRANKLIN SQUARE CAFE @ HARPER COLLINS,MANHATTAN,BROADWAY,American,7.0,A,05/07/2015,high income
BIN 71,MANHATTAN,COLUMBUS AVENUE,French,11.0,A,07/26/2017,high income
THE LOFT AT ARIANA'S GRAND,STATEN ISLAND,ARTHUR KILL ROAD,Italian,13.0,A,07/27/2017,medium income
DARO'S PIZZA,QUEENS,KISSENA BOULEVARD,Pizza,5.0,A,10/28/2014,low income
UNION CLUB OF CITY OF NEW YORK,MANHATTAN,EAST   69 STREET,French,7.0,A,02/08/2017,high income
LA LECHONERA CRIOLLA,BRONX,WEBSTER AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,06/14/2017,low income
DOMINO'S,BRONX,EAST TREMONT AVENUE,Pizza,9.0,A,05/10/2014,low income
IL POSTO ACCANTO,MANHATTAN,EAST    2 STREET,Italian,12.0,A,12/11/2014,medium income
LIC CORNER CAFE,QUEENS,45TH RD,Caf̩/Coffee/Tea,10.0,A,04/26/2017,medium income
FABENE PIZZA,BRONX,GRAND CONCOURSE,Pizza/Italian,6.0,A,04/18/2016,low income
TRE SORELLE,MANHATTAN,READE STREET,Italian,6.0,A,03/09/2015,high income
CARACAS AREPA /TO GO,MANHATTAN,EAST    7 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7.0,A,03/15/2016,medium income
STARBUCKS,MANHATTAN,WEST BROADWAY,Caf̩/Coffee/Tea,9.0,A,03/20/2015,high income
MCDONALD'S,BRONX,WEBSTER AVENUE,American,7.0,A,03/03/2015,low income
POP'S COFFEE DINER,QUEENS,KISSENA BOULEVARD,American,8.0,A,08/21/2015,low income
GAW GAI,QUEENS,JACKSON AVE,Thai,12.0,A,08/17/2017,medium income
CHINA WOK KITCHEN,MANHATTAN,AVENUE D,Chinese,6.0,A,08/06/2015,medium income
THE PASTELILLOS HOUSE & DELI,BRONX,EAST  138 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5.0,A,03/24/2015,low income
GRILL 212,MANHATTAN,WEST   80 STREET,Jewish/Kosher,12.0,A,10/10/2013,high income
STARBUCKS,MANHATTAN,WEST BROADWAY,Caf̩/Coffee/Tea,12.0,A,07/18/2017,high income
CARACAS AREPA /TO GO,MANHATTAN,EAST    7 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0.0,A,02/16/2017,medium income
16 HANDLES,MANHATTAN,AMSTERDAM AVENUE,"Ice Cream, Gelato, Yogurt, Ices",2.0,A,09/29/2015,high income
KAFFE 1668,MANHATTAN,GREENWICH STREET,Caf̩/Coffee/Tea,10.0,A,12/19/2016,high income
NOI DUE,MANHATTAN,WEST   69 STREET,Jewish/Kosher,3.0,A,09/13/2016,high income
FONDA,MANHATTAN,AVENUE B,Mexican,9.0,A,03/31/2015,medium income
PERA MEDITERRANEAN BRASSERIE,MANHATTAN,MADISON AVENUE,Mediterranean,10.0,A,07/17/2014,high income
DOMINO'S,QUEENS,METROPOLITAN AVE,Pizza,10.0,A,01/13/2016,medium income
NINE THAI,QUEENS,QUEENS BLVD,Thai,21.0,B,10/31/2015,medium income
LA ESPIGA MEXICAN RESTAURANT,BRONX,SOUTHERN BOULEVARD,Mexican,9.0,A,02/10/2015,low income
SUNDAE SHOP & SNACKS,BRONX,SOUTHERN BOULEVARD,American,2.0,A,06/13/2017,low income
COASTAL FROZEN YOGURT,QUEENS,ROCKAWAY BEACH DR,"Ice Cream, Gelato, Yogurt, Ices",3.0,A,11/02/2016,medium income
FUH WAH RESTAURANT,BRONX,EAST  149 STREET,Chinese,27.0,B,09/23/2014,low income
POCO,MANHATTAN,AVENUE B,Spanish,13.0,A,02/27/2015,medium income
SOPHIE'S CUBAN CUISINE,MANHATTAN,CHAMBERS STREET,Spanish,12.0,A,06/05/2015,high income
TINA BAKERY,BRONX,EAST  149 STREET,Bakery,13.0,A,10/05/2016,low income
CARAVAN OF DREAMS,MANHATTAN,EAST    6 STREET,Vegetarian,2.0,A,03/17/2016,medium income
PEKING DUCK HOUSE,MANHATTAN,EAST   53 STREET,Chinese,11.0,A,12/22/2015,high income
BENITO ONE,MANHATTAN,MULBERRY STREET,Italian,9.0,C,02/13/2015,high income
