INCOME LEVEL,DBA,STREET
high income,JG MELON RESTAURANT,3 AVENUE
high income,DA CAPO,EAST   70 STREET
high income,MEMORIAL SLOAN KETTERING - PLAZA CAFE,EAST   74 STREET
high income,AFGHAN KEBAB HOUSE,2 AVENUE
high income,T-BAR STEAK & LOUNGE,3 AVENUE
high income,TANOSHI SUSHI SAKE BAR,YORK AVENUE
high income,NYC SQUEEZE,LEXINGTON AVENUE
high income,ZUCCHERO E POMODORI,2 AVENUE
high income,JONES WOOD FOUNDRY,EAST   76 STREET
high income,MURPHY'S LAW,EAST   70 STREET
high income,TANG'S GARDEN,3 AVENUE
high income,SUSHI ISHIKAWA,EAST   74 STREET
high income,PRET A MANGER,YORK AVENUE
high income,JUICE PRESS @ EQUINOX,2 AVENUE
high income,HANABI,2 AVENUE
high income,TANOSHI TEI,YORK AVENUE
high income,E.J LUNCHEONETTE,THIRD AVENUE
high income,FRANKIES CAFE,EAST   70 STREET
high income,STARBUCKS,EAST   69 STREET
high income,NYC HEALTH BAR,2 AVENUE
high income,NEIL'S COFFEE SHOP,LEXINGTON AVENUE
high income,5 NAPKIN,2 AVENUE
high income,STARBUCKS,1 AVENUE
high income,JOE & THE JUICE,LEXINGTON AVENUE
high income,VANGUARD WINE BAR,1 AVENUE
high income,A LA TURKA,2 AVENUE
high income,SAINT AMBROEUS CAFE AT SOTHEBY'S,YORK AVENUE
high income,SWEETGREEN,1 AVENUE
high income,PERSEPOLIS,2 AVENUE
high income,BELAIRE CAFE,EAST   71 STREET
high income,SESSION 73,1 AVENUE
high income,LA CROSTA RESTAURANT,EAST   72 STREET
high income,ELI ZABAR,MADISON AVENUE
high income,LATIN BITES,EAST   70 STREET
high income,HUI RESTAURANT AND BAR,EAST   70 STREET
high income,LITTLE VINCENT'S PIZZA,2 AVENUE
high income,GREEN BEAN CAFE,YORK AVENUE
high income,BAREBURGER,1 AVENUE
high income,RANGOLI EXQUISITE INDIAN CUISINE,2 AVENUE
high income,NINO'S RESTAURANT,1 AVENUE
high income,CAFE EVERGREEN,1 AVENUE
high income,EATS,LEXINGTON AVENUE
high income,Bigoi Venezia,2 AVENUE
high income,CANDLE CAFE,3 AVENUE
high income,BLT PRIME,LEXINGTON AVENUE
high income,LE CHARLOT,EAST   69 STREET
high income,DOMINO'S PIZZA,1 AVENUE
high income,SUSHI SASABUNE NEW YORK,EAST   73 STREET
high income,YIA YIA,EAST   69 STREET
high income,LE REVEIL COFFEE SHOP,2 AVENUE
high income,HUNTER DELI,LEXINGTON AVENUE
high income,BISTRO LE STEAK,3 AVENUE
high income,MILE 17,1 AVENUE
high income,Vivi Bubble Cafe,2 AVENUE
high income,HOTEL CARLYLE EMPLOYEE CAFETERIA,EAST   76 STREET
high income,JEAN CLAUDE FRENCH BISTRO,2 AVENUE
high income,SUBWAY,YORK AVENUE
high income,CORRADO BREAD AND PASTRY,LEXINGTON AVENUE
high income,PYRAMID COFFEE COMPANY,EAST   70 STREET
high income,GINA LA FORNARINA,LEXINGTON AVENUE
high income,NUMERO 28,1 AVENUE
high income,BOHEMIAN SPIRIT RESTAURANT,EAST   73 STREET
high income,THREE GUY'S RESTAURANT,MADISON AVENUE
high income,THE SWEET SHOP NYC,EAST   73 STREET
high income,SUSHI GAMA,2 AVENUE
high income,TASTI-D-LITE,1 AVENUE
high income,EATS,LEXINGTON AVENUE
high income,TANOSHI SUSHI SAKE BAR,YORK AVENUE
high income,MARYMOUNT COLLEGE NUGENTS CAFE,EAST   71 STREET
high income,MCDONALD'S,1 AVENUE
high income,CAFFE DEI FIORI RISTORANTE,LEXINGTON AVENUE
high income,TANG'S GARDEN,3 AVENUE
high income,THE STUMBLE INN,2 AVENUE
high income,CAFFE BACIO,3 AVENUE
high income,EFFY'S KITCHEN,2 AVENUE
high income,SASHIMI EXPRESS II,EAST   74 STREET
high income,MAISON KAYSER,3 AVENUE
high income,WORKSHOP,2 AVENUE
high income,Bigoi Venezia,2 AVENUE
high income,LEXINGTON BAR AND BOOKS,LEXINGTON AVENUE
high income,IGGY'S,2 AVENUE
high income,MEL'S BURGER,2 AVENUE
high income,BRASSERIE COGNAC EAST,LEXINGTON AVENUE
high income,BOMBAY CHOWK,1 AVENUE
high income,NESPRESSO,MADISON AVENUE
high income,HUI RESTAURANT AND BAR,EAST   70 STREET
high income,OITA SUSHI,2 AVENUE
