DBA,STREET,INCOME_LEVEL,BOROUGH,ZIPCODE,CUISINE_DESCRIPTION,SCORE,GRADE
TOKUYAMA CAFE,EAST    6 STREET,medium income,Manhattan,10009,Coffee/Tea,5,A
WESTSIDE COFFEE SHOP RESTAURANT,CHURCH STREET,high income,Manhattan,10013,Latin American,12,A
NISHIDA SHO-TEN,EAST   49 STREET,high income,Manhattan,10017,Japanese,9,A
JOHNSON BAR-B-Q,EAST  163 STREET,low income,Bronx,10456,Soul Food,8,A
GOOD HEALTH CAFE,1 AVENUE,high income,Manhattan,10021,Soups/Salads/Sandwiches,3,P
LA ROSA BAKERY,EAST  170 STREET,low income,Bronx,10452,Bakery Products/Desserts,5,A
SPY C CUISINE,AUSTIN ST,medium income,Queens,11375,Chinese,9,A
SUBWAY,2 AVENUE,high income,Manhattan,10028,Sandwiches,7,A
GOLDEN PALACE,DELONG ST,low income,Queens,11355,Chinese,11,A
JUAN VALDEZ CAFE,EAST   57 STREET,high income,Manhattan,10022,Coffee/Tea,11,A
JUMBO KITCHEN,SOUTHERN BOULEVARD,low income,Bronx,10460,Chinese,10,A
BOMBAY CHOWK,1 AVENUE,high income,Manhattan,10021,Indian,10,A
TO STEKI,FRANCIS LEWIS BLVD,medium income,Queens,11357,Greek,7,A
CHURUTTO RAMEN & POKE,3 AVENUE,high income,Manhattan,10028,Japanese,11,A
PHOENIX,EAST   13 STREET,medium income,Manhattan,10009,American,13,A
MCDONALD'S,GARRISON AVENUE,low income,Bronx,10474,Hamburgers,5,A
WENDY'S,3 AVENUE,low income,Manhattan,10029,Hamburgers,10,A
EVERYMAN ESPRESSO,WEST BROADWAY,high income,Manhattan,10013,Coffee/Tea,12,A
REDEMPTION,2 AVENUE,high income,Manhattan,10022,American,4,Z
CHIRPING CHICKEN,2 AVENUE,high income,Manhattan,10028,Chicken,25,B
THE NATIONAL,EAST   50 STREET,high income,Manhattan,10022,American,5,A
JAIYA THAI & ORIENTAL RESTAURANT,2 AVENUE,high income,Manhattan,10028,Thai,37,C
MARINARA,AMSTERDAM AVENUE,high income,Manhattan,10024,Pizza,10,A
